"Step","phase1_top3 - validation_step_timing in s","phase1_top3 - validation_step_timing in s__MIN","phase1_top3 - validation_step_timing in s__MAX"
"3890","0.031198501586914062","0.031198501586914062","0.031198501586914062"
"3897","0.04759335517883301","0.04759335517883301","0.04759335517883301"
"3902","0.058997154235839844","0.058997154235839844","0.058997154235839844"
"3906","0.0344698429107666","0.0344698429107666","0.0344698429107666"
"3908","0.05940723419189453","0.05940723419189453","0.05940723419189453"
"3911","0.04923367500305176","0.04923367500305176","0.04923367500305176"
"3929","0.03824138641357422","0.03824138641357422","0.03824138641357422"
"3940","0.04905080795288086","0.04905080795288086","0.04905080795288086"
"3942","0.03391885757446289","0.03391885757446289","0.03391885757446289"
"3950","0.061589717864990234","0.061589717864990234","0.061589717864990234"
"3970","0.03531646728515625","0.03531646728515625","0.03531646728515625"
"3977","0.05063438415527344","0.05063438415527344","0.05063438415527344"
"3980","0.039266347885131836","0.039266347885131836","0.039266347885131836"
"3993","0.0348203182220459","0.0348203182220459","0.0348203182220459"
"4012","0.038800954818725586","0.038800954818725586","0.038800954818725586"
"4028","0.05131983757019043","0.05131983757019043","0.05131983757019043"
"4031","0.05079531669616699","0.05079531669616699","0.05079531669616699"
"4035","0.03637862205505371","0.03637862205505371","0.03637862205505371"
"4040","0.03343486785888672","0.03343486785888672","0.03343486785888672"
"4051","0.051552772521972656","0.051552772521972656","0.051552772521972656"
"4059","0.057527780532836914","0.057527780532836914","0.057527780532836914"
"4073","0.0373988151550293","0.0373988151550293","0.0373988151550293"
"4085","0.03432726860046387","0.03432726860046387","0.03432726860046387"
"4093","0.03897356986999512","0.03897356986999512","0.03897356986999512"
"4120","0.04964900016784668","0.04964900016784668","0.04964900016784668"
"4133","0.05023789405822754","0.05023789405822754","0.05023789405822754"
"4150","0.05982708930969238","0.05982708930969238","0.05982708930969238"
"4159","0.03714156150817871","0.03714156150817871","0.03714156150817871"
"4167","0.03671884536743164","0.03671884536743164","0.03671884536743164"
"4181","0.034943342208862305","0.034943342208862305","0.034943342208862305"
"4182","0.033246755599975586","0.033246755599975586","0.033246755599975586"
"4194","0.05813741683959961","0.05813741683959961","0.05813741683959961"
"4200","0.05710554122924805","0.05710554122924805","0.05710554122924805"
"4203","0.05421781539916992","0.05421781539916992","0.05421781539916992"
"4231","0.05558967590332031","0.05558967590332031","0.05558967590332031"
"4232","0.05176424980163574","0.05176424980163574","0.05176424980163574"
"4248","0.03347206115722656","0.03347206115722656","0.03347206115722656"
"4266","0.031109333038330078","0.031109333038330078","0.031109333038330078"
"4300","0.03439044952392578","0.03439044952392578","0.03439044952392578"
"4314","0.03940272331237793","0.03940272331237793","0.03940272331237793"
"4337","0.03193974494934082","0.03193974494934082","0.03193974494934082"
"4340","0.05160212516784668","0.05160212516784668","0.05160212516784668"
"4356","0.030194997787475586","0.030194997787475586","0.030194997787475586"
"4360","0.029617786407470703","0.029617786407470703","0.029617786407470703"
"4368","0.057587385177612305","0.057587385177612305","0.057587385177612305"
"4377","0.05922293663024902","0.05922293663024902","0.05922293663024902"
"4378","0.056528329849243164","0.056528329849243164","0.056528329849243164"
