"Relative Time (Process)","phase2_upper_half - system/gpu.0.smClock","phase2_upper_half - system/gpu.0.smClock__MIN","phase2_upper_half - system/gpu.0.smClock__MAX","phase1_top3 - system/gpu.0.smClock","phase1_top3 - system/gpu.0.smClock__MIN","phase1_top3 - system/gpu.0.smClock__MAX"
"3915.932328821","","","","2790","2790","2790"
"3930.667134426","210","210","210","","",""
"3930.932288397","","","","2790","2790","2790"
"3945.666416359","210","210","210","","",""
"3945.931566532","","","","2790","2790","2790"
"3960.666475778","210","210","210","","",""
"3960.931695442","","","","2790","2790","2790"
"3975.667288768","210","210","210","","",""
"3975.932362066","","","","2790","2790","2790"
"3990.667101435","210","210","210","","",""
"3990.931382993","","","","2790","2790","2790"
"4005.666576934","210","210","210","","",""
"4005.931329977","","","","2790","2790","2790"
"4020.668067946","210","210","210","","",""
"4020.931592524","","","","2790","2790","2790"
"4035.666588719","210","210","210","","",""
"4035.931302047","","","","2790","2790","2790"
"4050.66603629","210","210","210","","",""
"4050.932072224","","","","2790","2790","2790"
"4065.666333917","210","210","210","","",""
"4065.931977951","","","","2790","2790","2790"
"4080.668299602","210","210","210","","",""
"4080.932053979","","","","2790","2790","2790"
"4095.667067494","210","210","210","","",""
"4095.931581486","","","","2790","2790","2790"
"4110.666252458","210","210","210","","",""
"4110.932076629","","","","2790","2790","2790"
"4125.667187169","210","210","210","","",""
"4125.93209168","","","","2790","2790","2790"
"4140.667350492","210","210","210","","",""
"4140.932010221","","","","2790","2790","2790"
"4155.666241065","210","210","210","","",""
"4155.931818774","","","","2790","2790","2790"
"4170.666577842","210","210","210","","",""
"4170.932861964","","","","2790","2790","2790"
"4185.667361289","210","210","210","","",""
"4185.931160159","","","","2790","2790","2790"
"4200.667542621","210","210","210","","",""
"4200.931640078","","","","2790","2790","2790"
"4215.666219205","210","210","210","","",""
"4215.932466447","","","","2790","2790","2790"
"4230.66746876","210","210","210","","",""
"4230.931842292","","","","2790","2790","2790"
"4245.666351397","210","210","210","","",""
"4245.931375184","","","","2790","2790","2790"
"4260.666690861","210","210","210","","",""
"4260.931914186","","","","2790","2790","2790"
"4275.666740763","210","210","210","","",""
"4275.932061202","","","","2790","2790","2790"
"4290.666693979","210","210","210","","",""
"4290.931766922","","","","2790","2790","2790"
"4305.665392988","210","210","210","","",""
"4305.931205539","","","","2790","2790","2790"
"4320.666349502","240","240","240","","",""
"4320.931610619","","","","2790","2790","2790"
"4335.668776222","210","210","210","","",""
"4335.931635157","","","","2790","2790","2790"
"4350.666063818","210","210","210","","",""
"4350.931829313","","","","2790","2790","2790"
"4365.665617266","345","345","345","","",""
"4365.932340436","","","","2790","2790","2790"
"4380.667108189","510","510","510","","",""
"4380.932037277","","","","2790","2790","2790"
"4395.666577835","210","210","210","","",""
"4395.931930241","","","","2790","2790","2790"
"4410.667051481","210","210","210","","",""
"4410.931607695","","","","2790","2790","2790"
"4425.667253408","210","210","210","","",""
"4425.932581686","","","","2790","2790","2790"
"4440.666092112","210","210","210","","",""
"4440.931684483","","","","2790","2790","2790"
"4455.667530781","210","210","210","","",""
"4455.931990102","","","","2790","2790","2790"
"4470.667123065","210","210","210","","",""
"4470.932212304","","","","2790","2790","2790"
"4485.665778678","210","210","210","","",""
"4485.932008518","","","","2790","2790","2790"
"4500.666764246","210","210","210","","",""
"4500.931901745","","","","2790","2790","2790"
"4515.66717102","210","210","210","","",""
"4515.931609053","","","","2790","2790","2790"
"4530.667292115","210","210","210","","",""
"4530.932149068","","","","2790","2790","2790"
"4545.66736592","210","210","210","","",""
"4545.932562348","","","","2790","2790","2790"
"4560.666838914","210","210","210","","",""
"4560.931493789","","","","2790","2790","2790"
"4575.667256078","210","210","210","","",""
"4575.931461083","","","","2790","2790","2790"
"4590.668444475","225","225","225","","",""
"4590.932157751","","","","2790","2790","2790"
"4605.666721322","210","210","210","","",""
"4605.931939757","","","","2790","2790","2790"
"4620.667105456","210","210","210","","",""
"4620.931389338","","","","2790","2790","2790"
"4635.66629013","210","210","210","","",""
"4635.932295631","","","","2790","2790","2790"
"4650.667955255","210","210","210","","",""
"4650.932788432","","","","2790","2790","2790"
"4665.665476318","210","210","210","","",""
"4665.932340591","","","","2790","2790","2790"
"4680.666295792","255","255","255","","",""
"4680.932808929","","","","2790","2790","2790"
"4695.667929755","210","210","210","","",""
"4695.931547478","","","","2790","2790","2790"
"4710.666599098","210","210","210","","",""
"4710.931623198","","","","2790","2790","2790"
"4725.667564575","360","360","360","","",""
"4725.93224968","","","","2790","2790","2790"
"4740.665918115","210","210","210","","",""
"4740.931294864","","","","2790","2790","2790"
"4755.667010551","210","210","210","","",""
"4755.93124351","","","","2790","2790","2790"
"4770.666529782","210","210","210","","",""
"4770.931848063","","","","2790","2790","2790"
"4785.66527506","210","210","210","","",""
"4785.931259996","","","","2790","2790","2790"
"4800.668649208","210","210","210","","",""
"4800.931457067","","","","2790","2790","2790"
"4815.667630267","240","240","240","","",""
"4815.931641699","","","","2790","2790","2790"
"4830.67016713","210","210","210","","",""
"4830.93208955","","","","2790","2790","2790"
"4845.666146557","210","210","210","","",""
"4845.931731171","","","","2790","2790","2790"
"4860.665939334","210","210","210","","",""
