"Relative Time (Process)","phase2_upper_half - system/gpu.0.memoryClock","phase2_upper_half - system/gpu.0.memoryClock__MIN","phase2_upper_half - system/gpu.0.memoryClock__MAX","phase1_top3 - system/gpu.0.memoryClock","phase1_top3 - system/gpu.0.memoryClock__MIN","phase1_top3 - system/gpu.0.memoryClock__MAX"
"2850.6667667","405","405","405","","",""
"2850.931808215","","","","10251","10251","10251"
"2865.666568299","405","405","405","","",""
"2865.931853979","","","","10251","10251","10251"
"2880.666497452","405","405","405","","",""
"2880.931310076","","","","10251","10251","10251"
"2895.666698746","405","405","405","","",""
"2895.931767146","","","","10251","10251","10251"
"2910.666547747","405","405","405","","",""
"2910.932031146","","","","10251","10251","10251"
"2925.66644751","405","405","405","","",""
"2925.932346858","","","","10251","10251","10251"
"2940.667047668","405","405","405","","",""
"2940.932300931","","","","10251","10251","10251"
"2955.667543739","405","405","405","","",""
"2955.932226066","","","","10251","10251","10251"
"2970.666897679","405","405","405","","",""
"2970.931397837","","","","10251","10251","10251"
"2985.667325335","405","405","405","","",""
"2985.931978912","","","","10251","10251","10251"
"3000.666477113","405","405","405","","",""
"3000.931800142","","","","10251","10251","10251"
"3015.667282534","405","405","405","","",""
"3015.932022212","","","","10251","10251","10251"
"3030.667519223","405","405","405","","",""
"3030.931907342","","","","10251","10251","10251"
"3045.666767786","405","405","405","","",""
"3045.932183025","","","","10251","10251","10251"
"3060.666644318","405","405","405","","",""
"3060.931577026","","","","10251","10251","10251"
"3075.666182324","405","405","405","","",""
"3075.93100952","","","","10251","10251","10251"
"3090.666671603","405","405","405","","",""
"3090.9317238","","","","10251","10251","10251"
"3105.667336158","405","405","405","","",""
"3105.932030609","","","","10251","10251","10251"
"3120.666203708","405","405","405","","",""
"3120.931772495","","","","10251","10251","10251"
"3135.666589184","405","405","405","","",""
"3135.931522044","","","","10251","10251","10251"
"3150.666895531","405","405","405","","",""
"3150.931275085","","","","10251","10251","10251"
"3165.666842192","405","405","405","","",""
"3165.931875143","","","","10251","10251","10251"
"3180.666365667","405","405","405","","",""
"3180.932049401","","","","10251","10251","10251"
"3195.667101832","405","405","405","","",""
"3195.930936319","","","","10251","10251","10251"
"3210.667733611","405","405","405","","",""
"3210.931636408","","","","10251","10251","10251"
"3225.666726334","405","405","405","","",""
"3225.931599699","","","","10251","10251","10251"
"3240.666552292","405","405","405","","",""
"3240.931902892","","","","10251","10251","10251"
"3255.666771393","405","405","405","","",""
"3255.931611986","","","","10251","10251","10251"
"3270.666982299","405","405","405","","",""
"3270.932144144","","","","10251","10251","10251"
"3285.667063823","405","405","405","","",""
"3285.932388076","","","","10251","10251","10251"
"3300.667461008","405","405","405","","",""
"3300.931036562","","","","10251","10251","10251"
"3315.667149611","405","405","405","","",""
"3315.931967671","","","","10251","10251","10251"
"3330.667315397","405","405","405","","",""
"3330.931990107","","","","10251","10251","10251"
"3345.667525453","405","405","405","","",""
"3345.932142746","","","","10251","10251","10251"
"3360.666862743","405","405","405","","",""
"3360.931811612","","","","10251","10251","10251"
"3375.666818736","405","405","405","","",""
"3375.931800117","","","","10251","10251","10251"
"3390.667459593","405","405","405","","",""
"3390.932108385","","","","10251","10251","10251"
"3405.666757558","405","405","405","","",""
"3405.931994533","","","","10251","10251","10251"
"3420.667090577","405","405","405","","",""
"3420.931499364","","","","10251","10251","10251"
"3435.667992003","405","405","405","","",""
"3435.931455715","","","","10251","10251","10251"
"3450.667150268","405","405","405","","",""
"3450.931773165","","","","10251","10251","10251"
"3465.667282651","405","405","405","","",""
"3465.931178682","","","","10251","10251","10251"
"3480.666422066","405","405","405","","",""
"3480.931598836","","","","10251","10251","10251"
"3495.666957751","405","405","405","","",""
"3495.932462869","","","","10251","10251","10251"
"3510.666390978","405","405","405","","",""
"3510.932279773","","","","10251","10251","10251"
"3525.667154906","405","405","405","","",""
"3525.932059143","","","","10251","10251","10251"
"3540.666417215","405","405","405","","",""
"3540.9313062","","","","10251","10251","10251"
"3555.666740842","405","405","405","","",""
"3555.931765795","","","","10251","10251","10251"
"3570.666297135","405","405","405","","",""
"3570.931256402","","","","10251","10251","10251"
"3585.667159483","405","405","405","","",""
"3585.931866998","","","","10251","10251","10251"
"3600.66685826","405","405","405","","",""
"3600.932235079","","","","10251","10251","10251"
"3615.667051022","405","405","405","","",""
"3615.932166061","","","","10251","10251","10251"
"3630.666634625","405","405","405","","",""
"3630.931667799","","","","10251","10251","10251"
"3645.667542514","405","405","405","","",""
"3645.930977689","","","","10251","10251","10251"
"3660.666579431","405","405","405","","",""
"3660.931269496","","","","10251","10251","10251"
"3675.666802838","405","405","405","","",""
"3675.931931297","","","","10251","10251","10251"
"3690.666438803","405","405","405","","",""
"3690.932139368","","","","10251","10251","10251"
"3705.665542243","405","405","405","","",""
"3705.931942819","","","","10251","10251","10251"
"3720.666172261","405","405","405","","",""
"3720.931846981","","","","10251","10251","10251"
"3735.665480534","405","405","405","","",""
"3735.932032403","","","","10251","10251","10251"
"3750.667233973","405","405","405","","",""
"3750.93149373","","","","10251","10251","10251"
"3765.666298512","405","405","405","","",""
"3765.931520969","","","","10251","10251","10251"
"3780.666800056","405","405","405","","",""
"3780.931319763","","","","10251","10251","10251"
"3795.667639809","405","405","405","","",""
"3795.932076832","","","","10251","10251","10251"
"3810.666523195","405","405","405","","",""
"3810.931557318","","","","10251","10251","10251"
"3825.666540284","405","405","405","","",""
"3825.93144056","","","","10251","10251","10251"
"3840.667514001","405","405","405","","",""
"3840.932428067","","","","10251","10251","10251"
"3855.666852327","405","405","405","","",""
"3855.931523799","","","","10251","10251","10251"
"3870.666929274","405","405","405","","",""
"3870.931400857","","","","10251","10251","10251"
"3885.665581098","405","405","405","","",""
"3885.931766447","","","","10251","10251","10251"
"3900.666389265","405","405","405","","",""
"3900.931195645","","","","10251","10251","10251"
"3915.666491366","405","405","405","","",""
"3915.932328821","","","","10251","10251","10251"
"3930.667134426","405","405","405","","",""
"3930.932288397","","","","10251","10251","10251"
"3945.666416359","405","405","405","","",""
"3945.931566532","","","","10251","10251","10251"
"3960.666475778","405","405","405","","",""
"3960.931695442","","","","10251","10251","10251"
"3975.667288768","405","405","405","","",""
"3975.932362066","","","","10251","10251","10251"
"3990.667101435","405","405","405","","",""
"3990.931382993","","","","10251","10251","10251"
"4005.666576934","405","405","405","","",""
"4005.931329977","","","","10251","10251","10251"
"4020.668067946","405","405","405","","",""
"4020.931592524","","","","10251","10251","10251"
"4035.666588719","405","405","405","","",""
"4035.931302047","","","","10251","10251","10251"
"4050.66603629","405","405","405","","",""
"4050.932072224","","","","10251","10251","10251"
"4065.666333917","405","405","405","","",""
"4065.931977951","","","","10251","10251","10251"
"4080.668299602","405","405","405","","",""
"4080.932053979","","","","10251","10251","10251"
"4095.667067494","405","405","405","","",""
"4095.931581486","","","","10251","10251","10251"
"4110.666252458","405","405","405","","",""
"4110.932076629","","","","10251","10251","10251"
"4125.667187169","405","405","405","","",""
